,Origional Idx,date,title,rating,genres,id,domestic earnings,international earnings,total earnings
0,22,2018-01-19,The Game Changers,8.2,"('documentary',)",tt7455754,739711,158281,897992
1,30,2017-05-20,Wonders of the Sea 3D,6.4,"('documentary',)",tt5495792,100780,178635,279415
2,89,2013-09-20,Generation Iron,7.1,"('documentary', 'drama', 'sport')",tt2205904,849521,52128,901649
3,116,2011-04-22,Revenge of the Electric Car,7.2,"('documentary',)",tt1413496,150886,386,151272
4,155,2007-09-09,Darfur Now,6.8,"('documentary',)",tt0988102,109107,4291,113398
5,423,2016-09-10,I Am Not Your Negro,7.8,"('documentary',)",tt5804038,7123919,1221379,8345298
6,492,2009-09-06,Capitalism: A Love Story,7.4,"('documentary', 'crime', 'news')",tt1232207,14363397,3073112,17436509
7,523,2007-05-19,The 11th Hour,7.3,"('documentary',)",tt0492931,707343,277864,985207
8,539,2006-01-23,Who Killed the Electric Car?,7.7,"('documentary',)",tt0489037,1678874,85430,1764304
9,544,2005-04-22,Enron: The Smartest Guys in the Room,7.6,"('documentary', 'biography', 'history')",tt1016268,4071700,782464,4854164
10,574,2001-06-19,Dr. Dolittle 2,4.7,"('comedy', 'family', 'fantasy')",tt0240462,112952899,63151445,176104344
11,606,2019-10-23,Terminator: Dark Fate,6.5,"('action', 'adventure', 'sci-fi')",tt6450804,59531297,189800000,249331297
12,613,2015-06-21,Terminator Genisys,6.4,"('action', 'adventure', 'sci-fi')",tt1340138,89760956,350842581,440603537
13,614,2015-04-22,Maggie,5.6,"('drama', 'horror')",tt1881002,187112,1206940,1394052
14,618,2014-08-04,The Expendables 3,6.1,"('action', 'adventure', 'thriller')",tt2333784,39322544,175335033,214657577
15,620,2014-03-19,Sabotage,5.7,"('action', 'crime', 'drama', 'thriller', 'western')",tt1742334,10508518,7000000,17508518
16,622,2013-07-18,Escape Plan,6.7,"('action', 'thriller')",tt1211956,25135965,112192336,137328301
17,623,2013-01-12,The Last Stand,6.3,"('action', 'thriller', 'western')",tt1549920,12050299,36280458,48330757
18,624,2012-08-08,The Expendables 2,6.6,"('action', 'adventure', 'thriller')",tt1764651,85028192,229947763,314975955
19,625,2010-08-03,The Expendables,6.5,"('action', 'adventure', 'thriller')",tt1320253,103068524,171401870,274470394
20,627,2004-06-13,Around the World in 80 Days,5.9,"('action', 'adventure', 'comedy', 'family', 'western')",tt0327437,24008137,48170758,72178895
21,629,2003-09-22,The Rundown,6.7,"('action', 'adventure', 'comedy', 'thriller')",tt0327850,47726342,32931579,80657921
22,630,2003-06-30,Terminator 3: Rise of the Machines,6.3,"('action', 'sci-fi')",tt0181852,150371112,283000000,433371112
23,632,2002-02-04,Collateral Damage,5.5,"('action', 'drama', 'thriller')",tt0233469,40077257,38305176,78382433
24,633,2000-10-28,The 6th Day,5.9,"('action', 'mystery', 'sci-fi', 'thriller')",tt0216216,34604280,61481197,96085477
25,635,1999-11-16,End of Days,5.8,"('action', 'fantasy', 'horror', 'thriller')",tt0146675,66889043,145100000,211989043
26,636,1997-11-25,Batman & Robin,3.7,"('action', 'sci-fi')",tt0118688,107325195,130881927,238207122
27,637,1996-11-16,Jingle All the Way,5.6,"('comedy', 'family')",tt0116705,60592389,69240000,129832389
28,638,1996-06-11,Eraser,6.1,"('action', 'drama', 'thriller')",tt0116213,101295562,141000000,242295562
29,640,1994-11-14,Junior,4.6,"('comedy', 'romance', 'sci-fi')",tt0110216,36763355,71668000,108431355
30,641,1994-07-12,True Lies,7.2,"('action', 'comedy', 'thriller')",tt0111503,146282411,232600000,378882411
31,643,1993-06-13,Last Action Hero,6.4,"('action', 'adventure', 'comedy', 'fantasy')",tt0107362,50016394,87282095,137298489
32,651,1991-07-01,Terminator 2: Judgment Day,8.5,"('action', 'sci-fi')",tt0103064,204843345,312106698,516950043
33,653,1990-11-25,Kindergarten Cop,6.1,"('comedy', 'crime')",tt0099938,91457688,110500000,201957688
34,654,1990-05-31,Total Recall,7.5,"('action', 'sci-fi', 'thriller')",tt0100802,119394840,141905000,261299840
35,656,1988-12-08,Twins,6.1,"('comedy', 'crime')",tt0096320,111938388,104676000,216614388
36,659,1987-11-25,Predator,7.8,"('action', 'adventure', 'sci-fi', 'thriller')",tt0093773,59735548,38532010,98267558
37,662,1985-10-04,Commando,6.7,"('action', 'adventure', 'thriller')",tt0088944,35100000,22391000,57491000
38,664,1984-10-26,The Terminator,8.0,"('action', 'sci-fi')",tt0088247,38371200,40000000,78371200
39,666,1982-04-02,Conan the Barbarian,6.9,"('action', 'adventure', 'fantasy')",tt0082198,39565475,29286000,68851475
40,681,2018-01-19,The Game Changers,8.2,"('documentary',)",tt7455754,739711,158281,897992
41,682,2017-05-20,Wonders of the Sea 3D,6.4,"('documentary',)",tt5495792,100780,178635,279415
42,687,2015-04-22,Maggie,5.6,"('drama', 'horror')",tt1881002,187112,1206940,1394052
43,688,2000-10-28,The 6th Day,5.9,"('action', 'mystery', 'sci-fi', 'thriller')",tt0216216,34604280,61481197,96085477
44,689,1993-06-13,Last Action Hero,6.4,"('action', 'adventure', 'comedy', 'fantasy')",tt0107362,50016394,87282095,137298489
45,697,2009-07-03,Kambakkht Ishq,3.8,"('action', 'comedy', 'romance')",tt1144804,1445739,1553201,2998940
